node_id	longitude	latitude
u155k025pbxz	4.394875	51.198181
u1557bqjxc84	4.392117	51.198615
u1557czyzx00	4.394510	51.207098
u1557cv3mcrf	4.391012	51.206124
u1557cvy33sp	4.391500	51.206984
u1557ctm0p8h	4.390755	51.205428
u1557cvjvvpy	4.390669	51.206917
u1557cvhsds4	4.390610	51.206688
u1557c10kurg	4.385133	51.201849
u155k08hzgzv	4.394875	51.199872
u155k0819wkj	4.394601	51.199328
u1557btbpw0j	4.391763	51.199069
u1557c1fy2b1	4.386216	51.202259
u155k00nzfxu	4.394875	51.197462
u1557brb4hs5	4.394279	51.197687
u1557ch41r20	4.389092	51.202165
u1557b070dbn	4.383910	51.196820
u1557b0dckh1	4.384291	51.196783
u1557b14cjk1	4.384966	51.196790
u1557b1e3wpz	4.385680	51.196880
u155k025x6rc	4.394853	51.198275
u1557cp7s95z	4.393700	51.202390
u1557cp1v2u5	4.393389	51.202087
u1557by2vhkh	4.392348	51.200561
u1555zvqjyk1	4.391007	51.195979
u1555zy7xm2n	4.392439	51.195546
u1555zz42vun	4.393196	51.195334
u155hpb02c8j	4.394563	51.194968
u1557b00hpkn	4.383722	51.196329
u1555zbrm5gu	4.384108	51.196181
u1555zbvkgzy	4.384789	51.195838
u1555z6uzgpc	4.387665	51.193001
u1557c85vqk1	4.383776	51.205206
u1557c883q0h	4.384285	51.204605
u1555z7x462p	4.388448	51.193384
u1555z7p2c7u	4.387702	51.193421
u1555zddwbhj	4.387273	51.193973
u1555zds4dbj	4.387085	51.194245
u1555zcuhjxz	4.386131	51.195633
u1555zcy1s7v	4.386018	51.195969
u1557b19xg24	4.385937	51.196564
u1557b1vbtu4	4.385975	51.197307
u1555zrhm85z	4.393399	51.192900
u1557cbeen2h	4.384360	51.206537
u1557cbqbp00	4.383888	51.207098
u1557c9jqbrb	4.385219	51.205431
u1557cywvzh0	4.392723	51.207098
u1557cryynxb	4.394456	51.204349
u155k12nempu	4.394681	51.204299
u155k124pgzb	4.394875	51.203519
u1557cpty2ev	4.394118	51.202773
u155k105pvrf	4.394875	51.202326
u1557cpq1m0n	4.393555	51.202840
u1557bwh26kh	4.391801	51.199778
u1555zd68zpc	4.386678	51.194009
u1555zd0mm05	4.386517	51.193613
u1557c449pec	4.386340	51.202252
u1557ceerwxu	4.388684	51.205122
u155k125zupv	4.394875	51.203822
u1557cruuyxg	4.394403	51.204006
u1557cznvrh0	4.393389	51.207098
u1557c4e0zzf	4.387021	51.202339
u1555zuyvt7z	4.390309	51.196104
u1557bxuydev	4.394472	51.199865
u15579z8r7rb	4.383180	51.205963
u15579xnkc7z	4.382381	51.205610
u1557cdz2fev	4.387359	51.205788
u1557ced4qs0	4.388453	51.204907
u15579zquz00	4.382719	51.207098
u1557bt7jw5c	4.390996	51.199583
u1557c7eceeb	4.388421	51.203818
u1557c7mv6hj	4.388239	51.204154
u1557cvkbgup	4.390792	51.206739
u1557bd50xbj	4.386313	51.199593
u1557bd8y3ef	4.387252	51.199173
u1557b7qm4xu	4.388233	51.198749
u1557bp1hfkh	4.393367	51.196474
u155hpbjrbpy	4.394875	51.195818
u1557crdebuj	4.394011	51.203590
u15578zjmvez	4.382424	51.201341
u1557ck1nu7y	4.389333	51.203351
u1557bb2n4h4	4.384151	51.200420
u1557bnc3w7c	4.392884	51.196537
u1557bk583sj	4.389054	51.198272
u1557bjxj2uh	4.391329	51.197496
u1557b8ut7pu	4.384811	51.199825
u1557ctsu7h5	4.391286	51.205361
u1557b0gcb20	4.384650	51.196934
u1557b0xpj21	4.384532	51.197519
u15578rkebbp	4.382676	51.198440
