node_id	longitude	latitude
u155mk420wk1	4.452580	51.218295
u155mk4brd8j	4.453561	51.218319
u1557sndx524	4.381785	51.218709
u1557snf51hj	4.381962	51.218611
u1557sp451b1	4.382300	51.218615
u1557spd4y0j	4.382976	51.218638
u1557spdqzxf	4.383159	51.218689
u1557u0d6c7c	4.384355	51.218655
u1557u1djnb1	4.385819	51.218642
u1557u418phh	4.386297	51.218558
u1555xyug58j	4.381957	51.195751
u155kg09uzzb	4.428391	51.213111
u155kvwrj7h1	4.436304	51.227719
u155kh03vnpc	4.395100	51.218595
u155kh0d9x8n	4.395282	51.218732
u155kh0frq24	4.395872	51.218682
u155kh14vru5	4.396135	51.218776
u155kh1dpngc	4.396897	51.218642
u155kh1ccc5b	4.397015	51.218568
u155kh4dghsp	4.398099	51.218759
u155kh4cdqeb	4.398410	51.218554
u155kh5d03u1	4.399354	51.218615
u155khh5pdk5	4.400352	51.218789
u155khhfgt25	4.401205	51.218763
u155khj1c6gu	4.401457	51.218578
u155khj6xrxy	4.402063	51.218732
u155khp1zqpc	4.404466	51.218595
u155khp9v18h	4.405046	51.218571
u155khp9ybru	4.405131	51.218564
u155kk1fuxpz	4.408125	51.218773
u155kkj3trpu	4.412963	51.218558
u155kkndzjup	4.414750	51.218766
u155kkp60eev	4.415501	51.218625
u155kkpd0w5v	4.415844	51.218638
u155ks06w4ey	4.417110	51.218705
u155ks0d3wbn	4.417255	51.218685
u155ks54sd5f	4.420822	51.218702
u155ks5en87z	4.421595	51.218779
u155kshd7yk4	4.422850	51.218682
u155ksj1gpbj	4.423499	51.218605
u155ksj3ev20	4.423875	51.218547
u155ksj9b8kh	4.424084	51.218564
u155ksn6wwkn	4.425371	51.218726
u155ksnfzbrf	4.426117	51.218736
u155ksp4k7gf	4.426305	51.218668
u155ksp9bcsh	4.426841	51.218571
u1557ytwmqu4	4.391329	51.233104
u155ku1cykb1	4.430162	51.218588
u155ku468f5f	4.430618	51.218702
u155ku4fbbgz	4.431304	51.218739
u155ku550j2p	4.431610	51.218806
u155kuj50wpg	4.434389	51.218810
u155mh0fp1b1	4.439807	51.218615
u155mh13ffk0	4.440317	51.218574
u155mh16hfrv	4.440408	51.218618
u1557udy0320	4.387332	51.222045
u155mh54x3ry	4.442918	51.218699
u155mhhep0rz	4.444968	51.218779
u155mhj1et7b	4.445499	51.218547
u155mhj1tppu	4.445568	51.218558
u155mhjepspz	4.446362	51.218799
u155mhncyfuh	4.448041	51.218578
u155mhp6btbp	4.448454	51.218766
u155mhp648ec	4.448546	51.218608
u155mk0d2wk4	4.450176	51.218682
u155mk16wf5f	4.451475	51.218702
u155mk1fbh8p	4.451866	51.218759
u155k0xnru0j	4.404477	51.200131
u155mk45pk0p	4.452521	51.218799
u155kqhzn2zb	4.412320	51.230454
u155mk4f0kgv	4.453256	51.218631
u1557sns6284	4.381582	51.218994
u1557snunprf	4.382097	51.218988
u1557u4u7hbn	4.387450	51.219018
u155kf32h425	4.429379	51.208661
u155kwyzk3zf	4.425967	51.234622
u155kh05bp5v	4.394537	51.218944
u155kh05zzzc	4.394875	51.218947
u155kh0e7q7b	4.395363	51.218853
u155kh15q3bh	4.396173	51.218830
u155kh4hjuhn	4.397530	51.218971
u155kh5ss6xg	4.399531	51.219048
u155khh5x2zb	4.400346	51.218867
u155khhu1run	4.401113	51.218991
u155khhgwjhh	4.401317	51.218890
u155khj7zu8j	4.402074	51.218931
u155k2dj6dun	4.408377	51.199953
u155khphkqpy	4.404337	51.219025
u155khpet4pb	4.405056	51.218873
u155khpexxh1	4.405158	51.218900
u155kk0ksb8n	4.406065	51.219038
u155kk1ur90n	4.408243	51.218998
u155keqpqkgg	4.425017	51.215412
u155k97qtwkh	4.421209	51.204306
u155kkhgsw2j	4.412234	51.218897
u155k97wm5sp	4.421530	51.204248
u155kkpederb	4.415935	51.218880
u155ks0hxgzg	4.416847	51.219055
u155ks0s99gy	4.417260	51.219045
u155ks1k3r7y	4.418280	51.219031
u155ks4u3qhn	4.420339	51.219025
u155ks5h5fzv	4.420795	51.218964
u155ks577hru	4.421107	51.218843
u155ks5ge5gu	4.421788	51.218883
u155ks5gv1xc	4.421879	51.218914
u155kshg2p80	4.423027	51.218860
u155ksnhw0h4	4.425007	51.219035
u155ksngkeu0	4.425972	51.218840
u155kc2mxzpc	4.428177	51.204137
u155ku4e87rb	4.430945	51.218880
u155ku4gmj00	4.431481	51.218847
u155ku573msh	4.432012	51.218850
u155ku5uwtxz	4.432930	51.219065
u155k2ttvbgb	4.413323	51.200027
u155kuj79uxb	4.434786	51.218887
u155mh4kv2pz	4.441803	51.219078
u155mh5ewk80	4.443551	51.218887
u155mhhhe924	4.444120	51.219041
u155mhhhrpkn	4.444275	51.219031
u155mhhex400	4.444957	51.218873
u155mhhgsrpc	4.445193	51.218900
u155mhj5gz0j	4.445504	51.218944
u155mhje62xu	4.446137	51.218823
u155mhp57th0	4.448245	51.218847
u155mhps2pry	4.448787	51.219031
u155mk05g4b1	4.449592	51.218920
u1555xqhr25z	4.381115	51.192900
u1555xqtn204	4.381753	51.193028
u1555xrhbb81	4.382204	51.192987
u1555xrmh9k4	4.382713	51.193035
u1555xrs605z	4.382949	51.192900
u1555xrv3bu4	4.383282	51.193075
u155mk4hhu5y	4.452419	51.218971
u155mk4s7y0n	4.453057	51.219025
u1555z2v6gk5	4.384698	51.193088
u1555z3h68pz	4.385036	51.192900
u1555z3mnb8n	4.385551	51.193031
u1555z3thk7y	4.385793	51.193051
u1555z6jp9un	4.386619	51.193038
u1555z6tkg7g	4.387187	51.193088
u1555z7h6b0p	4.387783	51.192900
u1555z7km80p	4.388244	51.192900
